Search Condition
State,Glass
Composition
,Component Unit,mol%
Component,Main,,Component,,,,min,max
,Total of Main Components >=,0,%
Commercial Glass,
Glass System,All Oxide
Filler,
Crystal,
Substrate,
Shape,
Usage,
Property
,Property,,,,Unit,min,max
,Refract Index 656.3nm C,,,,Common,,
Structure
,Structure,Element,Unit,min,max
Data Source
,Data Source,Year,,Number,Cat No,Pat Co
Glass ID,,
Max Data,50000

List Condition
,Component Unit,mol%
,Property Unit,Common

No., Glass No., Data Source, Year, Data Source Number, SiO2, B2O3, Al2O3, MgO, CaO, BaO, Li2O, Na2O, K2O, ZnO, SrO, PbO, La2O3, TiO2, GeO2, ZrO2, P2O5, Refract Index 656.3nm C
155, GB03-012951, Handbook of Glass Properties, 1986, v. 001  p. 0602, 42.0, , , , , 36.0, , , , , , , , , , , , 1.882
156, GB03-012952, Handbook of Glass Properties, 1986, v. 001  p. 0602, 38.0, , , , , 40.0, , , , , , , , , , , , 1.893
157, GB03-012953, Handbook of Glass Properties, 1986, v. 001  p. 0603, 70.0, , , , , 28.0, , , , , , , , , , , , 1.608
158, GB03-012954, Handbook of Glass Properties, 1986, v. 001  p. 0603, 68.0, , , , , 30.0, , , , , , , , , , , , 1.618
159, GB03-012955, Handbook of Glass Properties, 1986, v. 001  p. 0603, 65.0, , , , , 33.0, , , , , , , , , , , , 1.634
160, GB03-012956, Handbook of Glass Properties, 1986, v. 001  p. 0603, 63.0, , , , , 35.0, , , , , , , , , , , , 1.64
161, GB03-012957, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 38.0, , , , , , , , , , , , 1.659
162, GB03-012958, Handbook of Glass Properties, 1986, v. 001  p. 0603, 58.0, , , , , 40.0, , , , , , , , , , , , 1.657
163, GB03-012959, Handbook of Glass Properties, 1986, v. 001  p. 0603, 68.0, , , , , 27.0, , , , , , , , , , , , 1.639
164, GB03-012960, Handbook of Glass Properties, 1986, v. 001  p. 0603, 65.0, , , , , 30.0, , , , , , , , , , , , 1.656
165, GB03-012961, Handbook of Glass Properties, 1986, v. 001  p. 0603, 63.0, , , , , 32.0, , , , , , , , , , , , 1.668
166, GB03-012962, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 35.0, , , , , , , , , , , , 1.675
167, GB03-012963, Handbook of Glass Properties, 1986, v. 001  p. 0603, 58.0, , , , , 37.0, , , , , , , , , , , , 1.684
168, GB03-012964, Handbook of Glass Properties, 1986, v. 001  p. 0603, 55.0, , , , , 40.0, , , , , , , , , , , , 1.693
169, GB03-012965, Handbook of Glass Properties, 1986, v. 001  p. 0603, 50.0, , , , , 45.0, , , , , , , , , , , , 1.708
170, GB03-012966, Handbook of Glass Properties, 1986, v. 001  p. 0603, 48.0, , , , , 47.0, , , , , , , , , , , , 1.709
171, GB03-012967, Handbook of Glass Properties, 1986, v. 001  p. 0603, 60.0, , , , , 33.0, , , , , , , , , , , , 1.694
