,SiO2,B2O3,Al2O3,MgO,CaO,BaO,Li2O,Na2O,K2O,ZnO,SrO,PbO,Y2O3,La2O3,TiO2,GeO2,ZrO2,P2O5,nd
137,0.78,0.0,0.0,0.0,0.0,0.22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.57
138,0.6192000000000001,0.0897,0.0275,0.0,0.0063,0.0678,0.0352,0.034,0.0231,0.0,0.0,0.0,0.0,0.0,0.0967,0.0,0.0,0.0,1.6029
139,0.0,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0,0.0,0.22,0.03,0.0,0.0,0.0,1.75
140,0.5843,0.1711,0.043,0.0311,0.0223,0.0081,0.0629,0.0504999999999999,0.0266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521
141,0.0,0.0139,0.0068,0.0,0.0,0.1085,0.167,0.0626,0.0,0.0085,0.0,0.2347,0.0,0.0,0.0,0.0,0.0,0.3828,1.6627
142,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.0,0.0,1.7599999999999998
143,0.5700000000000001,0.0,0.0,0.208,0.0,0.0,0.0,0.222,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.521
144,0.4394,0.2621,0.0447,0.0,0.0,0.0,0.0654,0.0683,0.0,0.1201,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.53686
145,0.0,0.05,0.175,0.107,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.605,1.5101
146,0.428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.077,0.0,0.0,0.485,0.0,0.0,0.0,0.0,0.0,0.0,1.639
147,0.6604000000000001,0.0958,0.1092,0.0116,0.1011,0.0165,0.0,0.0,0.0,0.0040999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522
148,0.1559,0.3257,0.0,0.0,0.0,0.1712999999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0513,0.1321,0.12,0.0,0.0435,0.0,1.813
149,0.7276,0.0,0.0,0.0723,0.1248,0.0,0.0,0.0753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.522
150,0.0173,0.6415000000000001,0.0,0.0,0.1021,0.0,0.0,0.0,0.0,0.064,0.0,0.0,0.0,0.1278,0.0013,0.0,0.0455999999999999,0.0,1.7033
151,0.3969,0.0,0.0334,0.0,0.0,0.0,0.0,0.0,0.0,0.0418,0.0,0.4427,0.0,0.0,0.0852,0.0,0.0,0.0,1.954
152,0.2687,0.2482,0.1609,0.0,0.0,0.0,0.1575,0.0966,0.0357,0.0,0.0324,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.54
153,0.0924,0.5262,0.1197,0.0,0.0,0.0,0.0,0.0,0.0,0.004,0.0,0.2188,0.0,0.0023,0.0096,0.0,0.0125,0.0,1.672
154,0.0,0.4981,0.0,0.0,0.0997,0.0291,0.0,0.0,0.0,0.1924,0.0,0.0,0.0743,0.1064,0.0,0.0,0.0,0.0,1.714
155,0.3452,0.1308,0.0,0.0,0.0542,0.2395,0.0744,0.0,0.0,0.0,0.0,0.0,0.0,0.0652,0.0634,0.0,0.0246,0.0,1.745
156,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0,0.0,1.7880000000000007
157,0.6189,0.0,0.0043,0.0,0.0,0.0,0.0592,0.1,0.0375,0.0,0.0,0.1745,0.0,0.0,0.0055,0.0,0.0,0.0,1.64
158,0.0,0.5025000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1862,0.0337,0.0,0.0,0.1571,0.0729,0.0,0.0472,0.0,1.798
